X,y
"With commercial banks posting weak numbers quarter after quarter, there have been serious efforts both by banks and RBI to address bad loans because .",-1
MORGAN STANLEY: Here Are 42 Stocks That'll Thrive Even If The Economy Gets .  companies they believe will grow irrespective of fluctuations in the business .,1
These Were the 6 Major American Economic Crises of the Last Century,-1
CREDIT SUISSE: These 7 Stocks Will Rise With The Machines,1
Stock Pros Who Survived the Depression,1
How the company and local officials flesh out plans for the new corporate presence will be crucial to the economic lift it produces.,1
.  about the mid-term prospects for the global economy and the current corporate earnings season. Tokyo stocks extended Friday's 21-year high following strong .,1
"Here's why FANG stocks will get stronger even in a slow growth economy, .  this high-beta, high-growth stuff, companies that are investing in their businesses.",1
U.S. President Donald Trump's decision to delay raising tariffs on $200 billion worth of Chinese goods has helped push global stock markets broadly higher as investors hope for a resolution in the trade war between the world's two largest economies.,1
Zombie stocks: Trading often goes on after companies stop filing SEC .,-1
Human capital' stocks come to life as the economy nears full .,1
"The Trump administration is expected to indict hackers and roll out import restrictions out of concern that Beijing will not easily change its trade, cyber and economic practices.",-1
"The World Economy Just Can’t Escape Its Low-Growth, Low-Inflation Rut",-1
"Global stock markets tumbled in August and earlier in September due to concerns of a slowdown in China, the world's second largest economy. Investors are .",-1
The last official snapshot of the economy before Americans vote on Tuesday offered another reminder of the labor market’s persistent strength.,1
"On a personal level, company executives worry about stock price, because .  short sellers destroyed a perfectly good company or did the economy a favor by .",-1
"Fewer taxpayer calls are being answered and wait times are longer, a new report finds.",-1
Nikkei index highest in over 20 years,1
"The newest jobs numbers are expected to show healthy gains, and Detroit automakers will report sales for August.",1
Depression and suicide rates rose alarmingly during the debt crisis as the country cut wages and health services and increased taxes.,-1
Wall Street's three major indexes fell slightly after a choppy session on Tuesday as investors eyed mixed U.S. economic data and corporate news and waited for clarity on issues such as the U.S.-China trade talks.,-1
"Behind the Clash Over Italy’s Budget, a Fear of Populism",-1
Ex-Autonomy CEO Lynch denies new U.S. charges against him,-1
"U.S. stock prices are outpacing those in most other regions to start 2019, but the gap is narrow and some investors are eyeing potential catalysts to tip the scales to the rest of the world.",-1
"Unfortunately, like most emerging market nations, Turkey's economic boom has devolved into a dangerous bubble that is similar to the bubbles that caused the downfall of Western economies just six years ago.",-1
Malaysia seeks $7.5 billion in reparations from Goldman Sachs: FT,-1
"Donald Trump's Pro-Business Stance Inspires, But Economic Growth .",1
China’s Slowdown Looms Just as the World Looks for Growth,-1
Stock markets wrap up best year since 2013 as investors shrug off bad .,1
Global stock indexes slide as U.S. government shutdown looms,-1
Federal revenues rose slightly in the 2018 fiscal year. But that doesn’t mean the $1.5 trillion tax cut is bringing in more revenue than it’s losing.,-1
"Japanese prosecutors arrested Nissan's ousted chairman Carlos Ghosn for a third time on Friday, accusing him of aggravated breach of trust in transferring personal investment losses to the automaker.",-1
"There were previous indications that Apple's sinodependency wasn't causing the company as much harm as had been feared, despite China's economic issues.",1
"Nobody knew, as the stock market imploded in October 1929, that years of .  that would only come with an upturn in the business cycle at the end of the year.",-1
"Egypt's stocks close down on Wednesday amid Arab, foreign selling",-1
"Nike Inc shares rose 9 percent on Friday, after the company's solid quarterly results eased worries that escalating trade tensions between Washington and Beijing would weigh on China demand and hurt the sportswear maker's growth story.",1
"Longer term, rebuilding and postponed business activity will make up much of the .  and the capital stock that emerges will prove more economically useful and .",-1
Sovereign Wealth Funds Embrace Their Growing Ambitions,1
"Despite talk that the dollar was losing dominance, it has only gained stature, reinforcing President Trump’s power to dictate foreign policy.",1
China refuses to concede on U.S. demands to ease curbs on tech firms: FT,-1
"Ford Motor Co said Friday it is recalling 874,000 pickup trucks in North America with engine block heaters for fire risks.",-1
"Stocks began their rally against a bleak economic backdrop back in . . own are large-company stocks, especially large technology companies,"" . ",1
A proposal to restrict stock buybacks is the latest push by party leaders to force corporations to spend more on workers.,-1
U.S. President Donald Trump said he had asked China to immediately remove all tariffs on U.S. agricultural products because trade talks were progressing well.,1
Opinion: Donald Trump was a stock market disaster,-1
Stock Indexes Fell on the Fed's View on the Economy. .  while growth of business fixed investment has moderated from its rapid pace earlier in . ,-1
Can 'Fake News' Impact The Stock Market?,-1
Stocks fell Monday after weaker-than-expected economic data and as US-China trade optimism cooled. Financial markets had been higher . ,-1
"Investors face a “cataclysmic year” where stock markets could fall by up to 20% .  a severe slowdown in the Chinese economy and a fall in the value of the yuan, .",-1
"Best Buy shares surge 16 percent on upbeat profit view, robust holiday quarter",1
THE BIG QUESTION: Are Retiring Baby Boomers About To Crash The .,-1
"General Electric Co has too much debt and needs to reduce it ""thoughtfully and soon"", Chief Executive Officer Lawrence Culp said in a letter to shareholders on Tuesday.",-1
"[As stocks tumble, U.S. wonders: Is this economy as good as it gets?] .  The Standard & Poor's 500-stock index was off 3 percent Wednesday.",-1
Uniqlo and Theory's parent company has a stock price that is going nuts,1
"Shares in Air France-KLM fell sharply as the Dutch government amassed a 14 percent stake in the airline to counter French influence, in a surprise move highlighting tensions over the company's strategic direction.",-1
"This is the first time in the history of mankind that we are setting ourselves the task of intentionally, within a defined period of time, to change the economic .",-1
Business and conservation needn’t be opposed to one another. Government regulation to preserve the environment can unlock private sector wealth.,1
"Walking a narrow line between signaling interest rate intentions and vowing to be nimble in response to changing conditions, he helps prompt a stock sell-off.",-1
"That's seven times the growth rate of the U.S. economy. .  for their livelihood (such as workers at retailer GameStop or rent-by-mail company GameFly), and the .",1
"On Friday, the Nasdaq Composite closed almost 22 percent below its record high daily close on Aug. 29, signaling a nearly nine-and-a-half year bull market run for the index ended in late summer.",-1
"Car and parts makers should be able to adapt to changes negotiated with Mexico without undue expense or disruption, analysts say.",1
"Macron, With Popularity Slumping, Tries Tax Cuts for France’s Working Class",1
"British entrepreneur Mike Lynch vigorously denies new U.S. criminal charges against him, his spokesman said on Saturday ahead of a court case over the sale of his firm Autonomy which will begin in London next week.",-1
World stock markets end a tumultous year well down,-1
Japan plunge spooks global markets,-1
"Stocks: South Sea Company, British East India Company, Dutch East India .  more likely in an economic crisis, and this can accentuate the economy's problems.",-1
"Bayer's $63 billion purchase of U.S. seeds maker Monsanto made its mark on the German company's fourth quarter earnings on Wednesday, lifting profit and boding well for the peak season of its enlarged agriculture business.",1
"FedEx partners with Walmart, Pizza Hut to test last-mile delivery robot",1
Tesla settles in cash $920 million convertible bond obligation,-1
China Offers Trump a Trade Peace Deal. It May Not Be Enough.,-1
China's rollercoaster stock market has provoked panic in recent weeks: panic on the .  halted trading in their stocks to prevent the value of their businesses falling further. .  Former BBC correspondent Linda Yueh is a Fellow in Economics at St .,-1
Fed's Powell says 'no rush' to hike rates in 'solid' but slowing economy,-1
Stock markets fall again as bank shares tumble,-1
Robert Samuelson: Has the next economic bubble arrived?,-1
Positive Economic Reports Push Dow Up 150 Points,1
Bear Flag: Will Stock Markets Panic?,-1
"Financial markets will put a price on anything. They are trying to assess Britain’s looming exit from the European Union and the effects of political conflict in the United States, our columnist says.",-1
"The European Union fended off the challenge of Greek debt, but doing so with the Italian budget crisis could be much harder.",-1
"How 9/11 still affects stock, bond investors",-1
"Interest Rates Likely to Rise in December, Recap of Fed Meeting Shows",-1
How a ‘Monster’ Texas Oil Field Made the U.S. a Star in the World Market,1
Don't Hide From The Reality Of How Terrorism Affects The Economy,-1
Picking Stocks to Keep Ahead of Inflation,1
Crude refusal: China shuns U.S. oil despite trade war truce,-1
"The United States wants meetings as regularly as once a month to ensure enforcement of any potential trade pact with China, U.S. Trade Representative Robert Lighthizer said on Wednesday.",1
Volkswagen deepens cloud computing partnership with Microsoft,1
"Silicon Valley billionaire Elon Musk laid into the U.S. Securities and Exchange Commission again on Tuesday, after it accused the Tesla Inc chief executive officer of violating the terms of a settlement last year of fraud charges against him.",-1
"By Rich Barbieri and Nathaniel Meyersohn, CNN Business . . Trump administration sent out confusing signals about markets and the economy.",-1
Morici: Economic Impact of Hurricane Irene,-1
"Billions of dollars of pre-election spending by the Indian government and political parties in the next two months is unlikely to stop the nation's economy from slowing further, economists said.",-1
Stocks sink after economic data disappoints,-1
"The year 1992 will go down in the history of India as the year of the stock market scam. Harshad Mehta, a broker known for his rags-to-riches story and a poster .",-1
What does China's stock market crash tell us?,-1
"Canada’s main stock index rose on Thursday, boosted by gains in shares of metal miners fueled by rally in gold prices.",1
Offshoring Work Is Taking a Toll on the U.S. Economy,1
"“I want to make some money from the stock market and use the profits to restart my manufacturing business later, when the economy turns for the better.”.",1
U.S. wants regular meetings to ensure trade deal enforcement: Lighthizer,1
"Nasdaq in bear market, first of the three major U.S. indexes",-1
"The Federal Reserve is listening to the concerns of markets and open to changing its policy views next year, one its most influential members said on Friday, even while he stood by plans for interest-rate hikes and further paring of the Fed's bond portfolio.",1
Mexico: Surprising Land Of Opportunity,1
The S&P 500 and the Dow Jones Industrial Average snapped a three-day run of losses on Friday as optimism about the prospects for a U.S.-China trade agreement countered downbeat U.S. and China manufacturing data.,-1
"A proposal to tax wealth finds support across party lines, along with the premise that the government should combat inequality.",-1
"The recent economic picture in Canada can hardly be called rosy. The country lost more than 31,000 jobs last month, our trade deficit is at a record high, the .",-1
"Monetary policy refers to the strategies employed by a nation's central bank with regard to the amount of money circulating in the economy, and what that money .",-1
U.S. goods trade deficit deteriorates; factory orders edge up,-1
Pessimism Looms Over Prospect of a Sweeping China Trade Deal,-1
"Ford Motor Co's joint venture with China Changan Automobile Group has decided not to renew its contract with some agencies supplying it with workers, as carmakers struggle to cope with slumping sales in China.",-1
"Deflation, Not Inflation, May Be Big Threat to Economy",-1
Census Bureau statistics show that about three-fourths of U.S. business sectors .  Almost all of the gains in the stock market come from these few corporations.,-1
"Teenagers, Forget Engineering. Your Future Is Craft.",-1
"If you're going to worry about the economy, tumbling stocks are the least .  business network CNBC, proclaimed, “There's no recession coming.",1
The Fed released minutes of its January meeting showing officials continued to express confidence in the economy but saw enough warning signs to warrant a pause in rate increases.,-1
"The European Union should set up a police force to investigate tax evasion and financial crime and create a watchdog to counter money-laundering, EU lawmakers said in a report on Wednesday, which accuses seven member states of acting as tax havens.",1
Turkish watchdogs to probe JP Morgan after lira plunge,-1
"An A- for the U.S. Economy, but Failing Grades for Trump’s Policies",-1
Wall Street Is Battered by Worsening Economic Outlook in China,-1
"Federal work is an anchor in many local economies, offering security and benefits increasingly rare in the private sector and a route to the middle class.",-1
Financial crisis caused 5000 suicides,-1
Dollar rallies from post-Fed losses as U.S. shutdown likely,-1
"Japan's economy unexpectedly shrank for the second consecutive quarter, leaving the world's third largest economy in technical recession.",-1
"Italy Slides Into Recession as Europe Stalls, Stoking Global Fears",-1
Investors will be looking for a turnaround plan from G.E.’s new chief. Data on the eurozone’s economy is due. And Facebook’s earnings will come with data on its user numbers.,-1
"The global economy is becoming a more integrated and competitive neighborhood. Driven by new investments and the jobs that come with them, the expansion of the global economy into coordinated production and supply chains brings both benefits and opportunities.",1
"President Trump said there was a “very, very good chance” of a trade deal with China being reached when he meets with the Chinese president in March.",1
"The average fuel economy of new vehicles sold in December 2015 was 24.8 mpg .  and Urban Analysis at George Washington University, told Business Insider.",-1
Changes to the Community Reinvestment Act would allow financial institutions to skirt rules on lending to poor and minority areas.,1
Capital has moved into every economy and every sector with signs of stability and .  Snapbacks in the rupee coincide roughly with stock market recoveries.,1
"Exclusive: Bangladesh says to collect, test samples of Johnson & Johnson Baby Powder",-1
"Consumers and businesses delay buying expensive items like homes or cars because they believe these .  As a result, spending and economic growth slows.",-1
"The Canadian government, as expected, on Friday approved extradition proceedings against the chief financial officer of Huawei Technologies Co Ltd, prompting a furious reaction from China.",-1
"Stocks rise on earnings, economic reports",1
"Moreover, without strong economic growth to cushion it, the market likely will . . “China developed a business model based on reinforcing the worst aspects of .",-1
Many listed stocks currently undervalued,-1
"New York (CNN Business) Wall Street was a winner's circle this quarter. The market surged on hopes that the US economy and corporate profits .  And big tech stocks, including the favorite FAANG fivesome of Facebook (FB), . ",1
"SoftBank Group Corp is nearing a deal to invest $1.5 billion in Grab, three times a previously expected $500 million, as Southeast Asia's biggest ride-hailing firm looks to expand, a person with knowledge of the matter said.",1
STOCKS TSX rises 0.14 percent,1
India’s Leader Is Accused of Hiding Unemployment Data Before Vote,-1
Why Canadian stocks are doing so well when the economic data has .,-1
Why The Worst Is Still Ahead For Turkey's Bubble Economy,-1
"Just like the world's mania for tech stocks in the 1990s, this boom is headed for a .  on businesses and consumers and act as a profound drag on the economy.",-1
What the Boston Bombing Means for the Economy and the Stock Market,-1
"As Wall Street braces for what may be the first U.S. profit decline since 2016, investors say the first quarter may not mark the low point for 2019 earnings.",-1
Six reasons why our stock markets are no longer fit for purpose,-1
"Qatari, Chinese and Japanese investors all sought ""extras"" from Barclays as the British bank raised billions of pounds at the height of the credit crisis in 2008, a landmark London criminal trial heard on Wednesday.",-1
U.S. says rejects WTO's 'straitjacket' of trade obligations,-1
"US stocks suffered one of the worst weekly falls in a decade as trade .  The Fed also cut its forecasts for economic growth in 2019 to 2.3%, . ",-1
"Despite Weak Spots, E.U. Economy Is Not Nearing Recession, Mario Draghi Says",1
Markets dive as China manufacturing weakens in bleak start to 2019,-1
Here's How The Overseas Markets Affect Australian Stocks,-1
Trump Approach on Nafta Relieves Automakers’ Worst Fears,1
"Large cap stocks are far more liquid and are often the destination for funds .  in the business cycle, we believe the economy is generally in better shape now.",1
"Presidents love to take credit for a rising economy and stock market, and Donald .  ""the president's impact on the stock market and business cycle is minimal.",-1
"The largest bank in Europe lowered its stance on Singapore stocks to .  bases for global banks and major businesses seeking opportunities in Asia. .  focus on the domestic market have failed to lift the economy, the bank said . ",-1
